<Trait>	HSL	AC	
Agusita	9.78	18
Tia_Bura	10.01	24
Sadri_Tor_Misri	9.07	28
NSF-TV_260	9.34	24
Shim_Balte	8	25
Halwa_Gose_Red	8.04	25
Maratelli	7.83	15
Baldo	9.5	14
Vialone	8.28	15
Hiderisirazu	7.54	13
Hatsunishiki	7.44	14
Vavilovi	9.05	18
Sundensis	9.58	16
Osogovka	10.78	13
M._Blatec	10.17	15
923	12.55	26
Varyla	9.22	15
Padi_Pagalong	9.9	22
Sri_Malaysia_Dua	8.57	15
Kaukau	6.84	25
Gambiaka_Sebela	8.54	17
C1-6-5-3	7.77	15
Kon_Suito	8.29	19
Saku	8.52	18
Patna	9.47	16
Triomphe_Du_Maroc	7.65	15
Chibica	8.31	15
IR-44595	9.57	20
Tox_782-20-1	9.68	14
IITA_135	9.43	-999
Zerawchanica_Karatalski	8.11	15
Italica_Carolina	8.89	20
Lusitano	8.75	18
Amposta	7.16	14
Toploea_70/76	7.02	14
Stegaru_65	8.76	17
TOg_7178	8.32	25
SL_22-613	8.38	16
Dosel	8.32	16
Bahia	8.42	16
LD_24	7.5	26
SML_242	8.08	23
Sml_Kapuri	8.1	19
Melanotrix	7.31	15
WIR_3039	7.1	14
Kihogo	8.37	16
519	7.84	25
WIR_3764	7.34	19
Uzbekskij_2	7.77	15
Llanero_501	8.68	-999
Manzano	9.25	20
R_101	10.22	11
56-122-23	7.35	15
Aswina_330	8.34	24
BR24	9.05	23
CTG_1516	8.39	24
Dawebyan	9.07	24
DD_62	7.02	22
DJ_123	8.58	-999
DJ_24	7.29	25
DM_43	7.87	24
DM_56	7.33	25
DM_59	8.45	26
DNJ_140	7.83	24
DV_123	7.29	25
EMATA_A_16-34	8.05	22
Ghorbhai	7.66	24
Goria	8.01	24
Jamir	7.46	24
Kachilon	7.69	24
Khao_Pahk_Maw	9.08	25
Khao_Tot_Long_227	8.55	24
KPF-16	7.48	25
Leuang_Hawn	7.05	14
Lomello	9.12	18
Okshitmayin	8.49	9
Paung_Malaung	8.21	24
Sabharaj	7.92	22
Sitpwa	7.52	17
Yodanya	8.35	22
Berenj	8.77	23
Shirkati	9.1	25
Cenit	8.11	16
Victoria_F.A.	9.06	15
Habiganj_Boro_6	7.09	20
DZ_193	8.38	23
Karkati_87	9.19	26
Creole	9.34	22
China_1039	8.03	23
Chang_Ch'Sang_Hsu_Tao	6.9	23
Ligerito	8.77	17
Guatemala_1021	8.64	20
ARC_10376	6.07	24
BALA	7.21	23
ASD_1	7.7	14
JC_117	7.95	23
9524	7.63	23
Surjamkuhi	8.22	25
PTB_30	8.87	24
Edomen_Scented	6.61	-999
Rikuto_Norin_21	7.65	13
Shirogane	7.87	14
Kiuki_No._46	7.1	16
Sanbyang-Daeme	8.5	0
Deokjeokjodo	6.43	13
Sathi	9.05	24
Coarse	7.94	25
Santhi_Sufaid	8.42	24
Sufaid	8.16	24
Lambayeque_1	10.39	22
WC_2810	9.52	22
Breviaristata	10.24	20
PR_304	8.88	22
Kalubala_Vee	7.91	22
Wanica	8.92	23
Tainan-Iku_No._512	6.96	18
325	7.69	22
318	8.7	22
Nira	8.45	22
Palmyra	8.13	16
M-202	7.98	10
Nortai	7.26	16
CI_11011	7.8	17
CI_11026	8.81	22
Della	9.84	21
Edith	9.71	15
La_110	8.06	26
Lady_Wright_Seln	9.44	15
OS_6_(WC_10296)	8.99	22
Cocodrie	9.03	25
Cybonnet	9.13	22
Nov-93	9.34	18
Spring	8.85	21
Yang_Dao_6	9.34	18
RT0034	10.14	24.06
MCR010277	8.73	20.36
Pecos	7.73	12.98
Rosemont	9.15	20.13
Jasmine85	9.74	14.71
LaGrue	9.36	21.12
Bengal	8.57	11.34
Shufeng_121-1655	9.19	23.71
Kaybonnet	9.07	20.18
Katy	9.04	20.21
C101A51	7.59	24.39
Early	9.92	20.08
Jefferson	9.63	17.68
Panda	9.76	15.51
Saber	8.79	17.08
Dragon_Eyeball_100	8.45	17.35
Francis	9.27	20.28
Jing_185-7	8.48	24.1
Rondo_(4484-1693)	9.48	23.32
Azucena2	-999	-999
Sadu_Cho	-999	-999
N_22	-999	-999
Moroberekan2	-999	-999
Nipponbare	-999	-999
Dom_Sufid2	-999	-999
Tainung_67	-999	-999
Zhenshan_97B	-999	-999
Minghui_63	-999	-999
IR64	-999	-999
M-202a	-999	-999
Swarna	-999	-999
Cypress	-999	-999
FR13A	-999	-999
Aswina	-999	-999
Dular	-999	-999
Li-Jiang-Xin-Tuan-Hei-Gu	-999	-999
Pokkali	-999	-999
Darmali	6.78	-999
